"GameID","Datum","Zeit","TableID","Guthaben","Spielstand","Einsatz","Drehrichtung","Ausgang","Ergebnis","Farbe","Gerade","HiLo","Dutzend","Kolonne"
"11","Sonntag, 17. Juli 2016","11:32:46","1663519","2685","[1, 1, 1, 2, 3, 4, 5]","6","rechts","verloren","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"12","Sonntag, 17. Juli 2016","11:33:19","1663519","2679","[1, 1, 1, 2, 3, 4, 5, 6]","7","links","verloren","24","schwarz","gerade","hoch","2.Dutzend","3.Kolonne"
"13","Sonntag, 17. Juli 2016","11:33:52","1663519","2672","[1, 1, 1, 2, 3, 4, 5, 6, 7]","8","rechts","gewonnen","20","schwarz","gerade","hoch","2.Dutzend","2.Kolonne"
"14","Sonntag, 17. Juli 2016","11:34:27","1663519","2680","[1, 1, 2, 3, 4, 5, 6]","7","links","gewonnen","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"15","Sonntag, 17. Juli 2016","11:35:02","1663519","2687","[1, 2, 3, 4, 5]","6","rechts","verloren","30","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"16","Sonntag, 17. Juli 2016","11:35:35","1663519","2681","[1, 2, 3, 4, 5, 6]","7","links","gewonnen","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"17","Sonntag, 17. Juli 2016","11:36:10","1663519","2688","[2, 3, 4, 5]","7","rechts","verloren","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"18","Sonntag, 17. Juli 2016","11:36:44","1663519","2681","[2, 3, 4, 5, 7]","9","links","gewonnen","17","schwarz","ungerade","niedrig","2.Dutzend","2.Kolonne"
"19","Sonntag, 17. Juli 2016","11:37:20","1663519","2690","[3, 4, 5]","8","rechts","gewonnen","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"20","Sonntag, 17. Juli 2016","11:37:54","1663519","2698","[4]","4","links","gewonnen","11","schwarz","ungerade","niedrig","1.Dutzend","2.Kolonne"
"21","Sonntag, 17. Juli 2016","11:39:06","1663519","2702","[1, 1, 1, 1, 1]","2","links","gewonnen","11","schwarz","ungerade","niedrig","1.Dutzend","2.Kolonne"
"22","Sonntag, 17. Juli 2016","11:39:36","1663519","2704","[1, 1, 1]","2","rechts","verloren","18","rot","gerade","niedrig","2.Dutzend","3.Kolonne"
"23","Sonntag, 17. Juli 2016","11:40:09","1663519","2702","[1, 1, 1, 2]","3","links","verloren","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"24","Sonntag, 17. Juli 2016","11:40:45","1663519","2699","[1, 1, 1, 2, 3]","4","rechts","gewonnen","10","schwarz","gerade","niedrig","1.Dutzend","1.Kolonne"
"25","Sonntag, 17. Juli 2016","11:41:21","1663519","2703","[1, 1, 2]","3","links","verloren","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"26","Sonntag, 17. Juli 2016","11:41:57","1663519","2700","[1, 1, 2, 3]","4","rechts","verloren","10","schwarz","gerade","niedrig","1.Dutzend","1.Kolonne"
"27","Sonntag, 17. Juli 2016","11:42:32","1663519","2696","[1, 1, 2, 3, 4]","5","links","verloren","32","rot","gerade","hoch","3.Dutzend","2.Kolonne"
"28","Sonntag, 17. Juli 2016","11:43:04","1663519","2691","[1, 1, 2, 3, 4, 5]","6","rechts","verloren","2","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"29","Sonntag, 17. Juli 2016","11:43:42","1663519","2685","[1, 1, 2, 3, 4, 5, 6]","7","links","gewonnen","28","schwarz","gerade","hoch","3.Dutzend","1.Kolonne"
"30","Sonntag, 17. Juli 2016","11:44:16","1663519","2692","[1, 2, 3, 4, 5]","6","rechts","gewonnen","2","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"31","Sonntag, 17. Juli 2016","11:44:47","1663519","2698","[2, 3, 4]","6","links","verloren","3","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"32","Sonntag, 17. Juli 2016","11:45:24","1663519","2692","[2, 3, 4, 6]","8","rechts","verloren","10","schwarz","gerade","niedrig","1.Dutzend","1.Kolonne"
"33","Sonntag, 17. Juli 2016","11:45:55","1663519","2684","[2, 3, 4, 6, 8]","10","links","verloren","21","rot","ungerade","hoch","2.Dutzend","3.Kolonne"
"34","Sonntag, 17. Juli 2016","11:46:27","1663519","2674","[2, 3, 4, 6, 8, 10]","12","rechts","gewonnen","12","rot","gerade","niedrig","1.Dutzend","3.Kolonne"
"35","Sonntag, 17. Juli 2016","11:47:05","1663519","2686","[3, 4, 6, 8]","11","links","gewonnen","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"36","Sonntag, 17. Juli 2016","11:47:39","1663519","2697","[4, 6]","10","rechts","gewonnen","16","rot","gerade","niedrig","2.Dutzend","1.Kolonne"
"37","Sonntag, 17. Juli 2016","15:19:00","6333893","2710","[1, 1, 1, 1, 1]","2","rechts","gewonnen","2","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"38","Sonntag, 17. Juli 2016","15:19:04","6333893","2712","[1, 1, 1]","2","rechts","gewonnen","2","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"39","Sonntag, 17. Juli 2016","15:19:32","6333893","2714","[1]","1","links","verloren","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"40","Sonntag, 17. Juli 2016","15:20:22","6333893","2713","[1, 1]","2","rechts","gewonnen","17","schwarz","ungerade","niedrig","2.Dutzend","2.Kolonne"
"41","Sonntag, 17. Juli 2016","15:21:02","6333893","2715","[1, 1, 1, 1, 1]","2","links","gewonnen","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"42","Sonntag, 17. Juli 2016","15:21:44","6333893","2717","[1, 1, 1]","2","rechts","gewonnen","28","schwarz","gerade","hoch","3.Dutzend","1.Kolonne"
"43","Sonntag, 17. Juli 2016","15:22:30","6333893","2719","[1]","1","links","verloren","23","rot","ungerade","hoch","2.Dutzend","2.Kolonne"
"44","Sonntag, 17. Juli 2016","15:23:19","6333893","2718","[1, 1]","2","rechts","verloren","26","schwarz","gerade","hoch","3.Dutzend","2.Kolonne"
"45","Sonntag, 17. Juli 2016","15:24:01","6333893","2716","[1, 1, 2]","3","links","gewonnen","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"46","Sonntag, 17. Juli 2016","15:24:45","6333893","2719","[1]","1","rechts","verloren","0","grün","null","null","null","null"
"47","Sonntag, 17. Juli 2016","15:25:34","6333893","2718","[1, 1]","2","links","verloren","0","grün","null","null","null","null"
"48","Sonntag, 17. Juli 2016","15:26:18","6333893","2716","[1, 1, 2]","3","rechts","gewonnen","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"49","Sonntag, 17. Juli 2016","15:27:02","6333893","2719","[1]","1","links","gewonnen","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"50","Sonntag, 17. Juli 2016","15:27:47","6333893","2720","[1, 1, 1, 1, 1]","2","rechts","gewonnen","11","schwarz","ungerade","niedrig","1.Dutzend","2.Kolonne"
"51","Sonntag, 17. Juli 2016","15:28:33","6333893","2722","[1, 1, 1]","2","links","gewonnen","28","schwarz","gerade","hoch","3.Dutzend","1.Kolonne"
"52","Sonntag, 17. Juli 2016","15:29:18","6333893","2724","[1]","1","rechts","gewonnen","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"53","Sonntag, 17. Juli 2016","15:30:09","6333893","2725","[1, 1, 1, 1, 1]","2","links","verloren","21","rot","ungerade","hoch","2.Dutzend","3.Kolonne"
"54","Sonntag, 17. Juli 2016","15:31:01","6333893","2723","[1, 1, 1, 1, 1, 2]","3","rechts","gewonnen","16","rot","gerade","niedrig","2.Dutzend","1.Kolonne"
"55","Sonntag, 17. Juli 2016","15:31:46","6333893","2726","[1, 1, 1, 1]","2","links","gewonnen","3","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"56","Sonntag, 17. Juli 2016","15:32:30","6333893","2728","[1, 1]","2","rechts","verloren","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"57","Sonntag, 17. Juli 2016","15:33:15","6333893","2726","[1, 1, 2]","3","links","gewonnen","35","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"58","Sonntag, 17. Juli 2016","15:33:59","6333893","2729","[1]","1","rechts","verloren","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"59","Sonntag, 17. Juli 2016","15:34:48","6333893","2728","[1, 1]","2","links","verloren","8","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"60","Sonntag, 17. Juli 2016","15:35:31","6333893","2726","[1, 1, 2]","3","rechts","verloren","16","rot","gerade","niedrig","2.Dutzend","1.Kolonne"
"61","Sonntag, 17. Juli 2016","15:36:30","6333893","2723","[1, 1, 2, 3]","4","links","verloren","30","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"62","Sonntag, 17. Juli 2016","15:36:58","6333893","2719","[1, 1, 2, 3, 4]","5","rechts","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"63","Sonntag, 17. Juli 2016","15:37:29","6333893","2724","[1, 2, 3]","4","links","verloren","26","schwarz","gerade","hoch","3.Dutzend","2.Kolonne"
"64","Sonntag, 17. Juli 2016","15:37:58","6333893","2720","[1, 2, 3, 4]","5","rechts","verloren","27","rot","ungerade","hoch","3.Dutzend","3.Kolonne"
"65","Sonntag, 17. Juli 2016","15:38:28","6333893","2715","[1, 2, 3, 4, 5]","6","links","gewonnen","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"66","Sonntag, 17. Juli 2016","15:38:59","6333893","2721","[2, 3, 4]","6","rechts","gewonnen","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"67","Sonntag, 17. Juli 2016","15:39:29","6333893","2727","[3]","3","links","verloren","6","schwarz","gerade","niedrig","1.Dutzend","3.Kolonne"
"68","Sonntag, 17. Juli 2016","15:40:00","6333893","2724","[3, 3]","6","rechts","gewonnen","17","schwarz","ungerade","niedrig","2.Dutzend","2.Kolonne"
"69","Sonntag, 17. Juli 2016","15:41:59","6333893","2730","[1, 1, 1, 1, 1]","2","rechts","verloren","19","rot","ungerade","hoch","2.Dutzend","1.Kolonne"
"70","Sonntag, 17. Juli 2016","15:42:47","6333893","2728","[1, 1, 1, 1, 1, 2]","3","links","verloren","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"71","Sonntag, 17. Juli 2016","15:43:35","6333893","2725","[1, 1, 1, 1, 1, 2, 3]","4","rechts","verloren","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"72","Sonntag, 17. Juli 2016","15:44:22","6333893","2721","[1, 1, 1, 1, 1, 2, 3, 4]","5","links","gewonnen","30","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"73","Sonntag, 17. Juli 2016","15:45:06","6333893","2726","[1, 1, 1, 1, 2, 3]","4","rechts","gewonnen","16","rot","gerade","niedrig","2.Dutzend","1.Kolonne"
"74","Sonntag, 17. Juli 2016","15:45:52","6333893","2730","[1, 1, 1, 2]","3","links","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"75","Sonntag, 17. Juli 2016","15:46:40","6333893","2733","[1, 1]","2","rechts","verloren","6","schwarz","gerade","niedrig","1.Dutzend","3.Kolonne"
"76","Sonntag, 17. Juli 2016","15:47:25","6333893","2731","[1, 1, 2]","3","links","gewonnen","22","schwarz","gerade","hoch","2.Dutzend","1.Kolonne"
"77","Sonntag, 17. Juli 2016","15:48:13","6333893","2734","[1]","1","rechts","gewonnen","35","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"78","Sonntag, 17. Juli 2016","15:57:40","Sapphire Room","2740","[1, 1, 1, 1, 1]","2","links","verloren","21","rot","ungerade","hoch","2.Dutzend","3.Kolonne"
"79","Sonntag, 17. Juli 2016","15:58:28","Sapphire Room","2738","[1, 1, 1, 1, 1, 2]","3","rechts","gewonnen","36","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"80","Sonntag, 17. Juli 2016","15:59:14","Sapphire Room","2741","[1, 1, 1, 1]","2","links","verloren","20","schwarz","gerade","hoch","2.Dutzend","2.Kolonne"
"81","Sonntag, 17. Juli 2016","16:00:17","Sapphire Room","2739","[1, 1, 1, 1, 2]","3","rechts","gewonnen","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"82","Sonntag, 17. Juli 2016","16:01:14","Sapphire Room","2742","[1, 1, 1]","2","links","gewonnen","33","schwarz","ungerade","hoch","3.Dutzend","3.Kolonne"
"83","Sonntag, 17. Juli 2016","16:01:59","Sapphire Room","2744","[1]","1","rechts","verloren","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"84","Sonntag, 17. Juli 2016","16:02:41","Sapphire Room","2743","[1, 1]","2","links","gewonnen","5","rot","ungerade","niedrig","1.Dutzend","2.Kolonne"
"85","Sonntag, 17. Juli 2016","16:03:24","Sapphire Room","2745","[1, 1, 1, 1, 1]","2","rechts","gewonnen","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"86","Sonntag, 17. Juli 2016","16:04:06","Sapphire Room","2747","[1, 1, 1]","2","links","verloren","11","schwarz","ungerade","niedrig","1.Dutzend","2.Kolonne"
"87","Sonntag, 17. Juli 2016","16:04:46","Sapphire Room","2745","[1, 1, 1, 2]","3","rechts","verloren","14","rot","gerade","niedrig","2.Dutzend","2.Kolonne"
"88","Sonntag, 17. Juli 2016","16:05:27","Sapphire Room","2742","[1, 1, 1, 2, 3]","4","links","gewonnen","5","rot","ungerade","niedrig","1.Dutzend","2.Kolonne"
"89","Sonntag, 17. Juli 2016","16:06:07","Sapphire Room","2746","[1, 1, 2]","3","rechts","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"90","Sonntag, 17. Juli 2016","16:06:49","Sapphire Room","2749","[1]","1","links","verloren","10","schwarz","gerade","niedrig","1.Dutzend","1.Kolonne"
"91","Sonntag, 17. Juli 2016","16:07:31","Sapphire Room","2748","[1, 1]","2","rechts","verloren","30","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"92","Sonntag, 17. Juli 2016","16:08:11","Sapphire Room","2746","[1, 1, 2]","3","links","gewonnen","32","rot","gerade","hoch","3.Dutzend","2.Kolonne"
"93","Sonntag, 17. Juli 2016","16:08:53","Sapphire Room","2749","[1]","1","rechts","gewonnen","23","rot","ungerade","hoch","2.Dutzend","2.Kolonne"
"94","Sonntag, 17. Juli 2016","20:42:17","Aphrodite Roulette","2750","[1, 1, 1, 1, 1]","2","links","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"95","Sonntag, 17. Juli 2016","20:43:03","Aphrodite Roulette","2752","[1, 1, 1]","2","rechts","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"96","Sonntag, 17. Juli 2016","20:43:44","Aphrodite Roulette","2754","[1]","1","links","verloren","22","schwarz","gerade","hoch","2.Dutzend","1.Kolonne"
"97","Sonntag, 17. Juli 2016","20:44:32","Aphrodite Roulette","2753","[1, 1]","2","rechts","gewonnen","17","schwarz","ungerade","niedrig","2.Dutzend","2.Kolonne"
"98","Sonntag, 17. Juli 2016","20:45:19","Aphrodite Roulette","2755","[1, 1, 1, 1, 1]","2","links","gewonnen","15","schwarz","ungerade","niedrig","2.Dutzend","3.Kolonne"
"99","Sonntag, 17. Juli 2016","20:46:06","Aphrodite Roulette","2757","[1, 1, 1]","2","rechts","gewonnen","28","schwarz","gerade","hoch","3.Dutzend","1.Kolonne"
"100","Sonntag, 17. Juli 2016","20:46:52","Aphrodite Roulette","2759","[1]","1","links","verloren","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"101","Sonntag, 17. Juli 2016","20:47:38","Aphrodite Roulette","2758","[1, 1]","2","rechts","gewonnen","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"102","Sonntag, 17. Juli 2016","20:48:19","Aphrodite Roulette","2760","[1, 1, 1, 1, 1]","2","links","gewonnen","7","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"103","Sonntag, 17. Juli 2016","20:49:08","Aphrodite Roulette","2762","[1, 1, 1]","2","rechts","verloren","20","schwarz","gerade","hoch","2.Dutzend","2.Kolonne"
"104","Sonntag, 17. Juli 2016","20:49:51","Aphrodite Roulette","2760","[1, 1, 1, 2]","3","links","gewonnen","4","schwarz","gerade","niedrig","1.Dutzend","1.Kolonne"
"105","Sonntag, 17. Juli 2016","20:50:40","Aphrodite Roulette","2763","[1, 1]","2","rechts","verloren","30","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"106","Sonntag, 17. Juli 2016","20:51:25","Aphrodite Roulette","2761","[1, 1, 2]","3","links","gewonnen","18","rot","gerade","niedrig","2.Dutzend","3.Kolonne"
"107","Sonntag, 17. Juli 2016","20:52:07","Aphrodite Roulette","2764","[1]","1","rechts","verloren","6","schwarz","gerade","niedrig","1.Dutzend","3.Kolonne"
"108","Sonntag, 17. Juli 2016","20:52:49","Aphrodite Roulette","2763","[1, 1]","2","links","gewonnen","20","schwarz","gerade","hoch","2.Dutzend","2.Kolonne"
"109","Sonntag, 17. Juli 2016","20:53:32","Aphrodite Roulette","2765","[1, 1, 1, 1, 1]","2","rechts","gewonnen","11","schwarz","ungerade","niedrig","1.Dutzend","2.Kolonne"
"110","Sonntag, 17. Juli 2016","20:54:15","Aphrodite Roulette","2767","[1, 1, 1]","2","links","verloren","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"111","Sonntag, 17. Juli 2016","20:55:01","Aphrodite Roulette","2765","[1, 1, 1, 2]","3","rechts","verloren","24","schwarz","gerade","hoch","2.Dutzend","3.Kolonne"
"112","Sonntag, 17. Juli 2016","20:55:42","Aphrodite Roulette","2762","[1, 1, 1, 2, 3]","4","links","gewonnen","33","schwarz","ungerade","hoch","3.Dutzend","3.Kolonne"
"113","Sonntag, 17. Juli 2016","20:56:31","Aphrodite Roulette","2766","[1, 1, 2]","3","rechts","verloren","27","rot","ungerade","hoch","3.Dutzend","3.Kolonne"
"114","Sonntag, 17. Juli 2016","20:57:11","Aphrodite Roulette","2763","[1, 1, 2, 3]","4","links","gewonnen","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"115","Sonntag, 17. Juli 2016","20:57:57","Aphrodite Roulette","2767","[1, 2]","3","rechts","verloren","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"116","Sonntag, 17. Juli 2016","20:58:39","Aphrodite Roulette","2764","[1, 2, 3]","4","links","verloren","0","grün","null","null","null","null"
"117","Sonntag, 17. Juli 2016","20:59:26","Aphrodite Roulette","2760","[1, 2, 3, 4]","5","rechts","gewonnen","17","schwarz","ungerade","niedrig","2.Dutzend","2.Kolonne"
"118","Sonntag, 17. Juli 2016","21:00:18","Aphrodite Roulette","2765","[2, 3]","5","links","gewonnen","6","schwarz","gerade","niedrig","1.Dutzend","3.Kolonne"
"119","Sonntag, 17. Juli 2016","21:06:56","German; Keira","2770","[1, 1, 1, 1, 1]","2","links","gewonnen","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"120","Sonntag, 17. Juli 2016","21:07:44","German; Keira","2772","[1, 1, 1]","2","rechts","verloren","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"121","Sonntag, 17. Juli 2016","21:08:33","German; Keira","2770","[1, 1, 1, 2]","3","links","verloren","0","grün","null","null","null","null"
"122","Sonntag, 17. Juli 2016","21:09:22","German; Keira","2767","[1, 1, 1, 2, 3]","4","rechts","verloren","12","rot","gerade","niedrig","1.Dutzend","3.Kolonne"
"123","Sonntag, 17. Juli 2016","21:10:13","German; Keira","2763","[1, 1, 1, 2, 3, 4]","5","links","gewonnen","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"124","Sonntag, 17. Juli 2016","21:11:00","German; Keira","2768","[1, 1, 2, 3]","4","rechts","gewonnen","18","rot","gerade","niedrig","2.Dutzend","3.Kolonne"
"125","Sonntag, 17. Juli 2016","21:11:50","German; Keira","2772","[1, 2]","3","links","gewonnen","16","rot","gerade","niedrig","2.Dutzend","1.Kolonne"
"126","Sonntag, 17. Juli 2016","21:12:36","German; Keira","2775","[1, 1, 1, 1, 1]","2","rechts","verloren","2","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"127","Sonntag, 17. Juli 2016","21:13:26","German; Keira","2773","[1, 1, 1, 1, 1, 2]","3","links","verloren","18","rot","gerade","niedrig","2.Dutzend","3.Kolonne"
"128","Sonntag, 17. Juli 2016","21:14:15","German; Keira","2770","[1, 1, 1, 1, 1, 2, 3]","4","rechts","gewonnen","16","rot","gerade","niedrig","2.Dutzend","1.Kolonne"
"129","Sonntag, 17. Juli 2016","21:15:03","German; Keira","2774","[1, 1, 1, 1, 2]","3","links","verloren","15","schwarz","ungerade","niedrig","2.Dutzend","3.Kolonne"
"130","Sonntag, 17. Juli 2016","21:15:49","German; Keira","2771","[1, 1, 1, 1, 2, 3]","4","rechts","verloren","12","rot","gerade","niedrig","1.Dutzend","3.Kolonne"
"131","Sonntag, 17. Juli 2016","21:16:40","German; Keira","2767","[1, 1, 1, 1, 2, 3, 4]","5","links","gewonnen","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"132","Sonntag, 17. Juli 2016","21:17:29","German; Keira","2772","[1, 1, 1, 2, 3]","4","rechts","verloren","35","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"133","Sonntag, 17. Juli 2016","21:18:15","German; Keira","2768","[1, 1, 1, 2, 3, 4]","5","links","gewonnen","33","schwarz","ungerade","hoch","3.Dutzend","3.Kolonne"
"134","Sonntag, 17. Juli 2016","21:19:03","German; Keira","2773","[1, 1, 2, 3]","4","rechts","verloren","19","rot","ungerade","hoch","2.Dutzend","1.Kolonne"
"135","Sonntag, 17. Juli 2016","21:19:57","German; Keira","2769","[1, 1, 2, 3, 4]","5","links","gewonnen","1","rot","ungerade","niedrig","1.Dutzend","1.Kolonne"
"136","Sonntag, 17. Juli 2016","21:20:45","German; Keira","2774","[1, 2, 3]","4","rechts","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"137","Sonntag, 17. Juli 2016","21:21:32","German; Keira","2778","[2]","2","links","gewonnen","19","rot","ungerade","hoch","2.Dutzend","1.Kolonne"
"138","Sonntag, 17. Juli 2016","21:22:19","German; Keira","2780","[1, 1, 1, 1, 1]","2","rechts","verloren","31","schwarz","ungerade","hoch","3.Dutzend","1.Kolonne"
"139","Sonntag, 17. Juli 2016","21:23:09","German; Keira","2778","[1, 1, 1, 1, 1, 2]","3","links","verloren","36","rot","gerade","hoch","3.Dutzend","3.Kolonne"
"140","Sonntag, 17. Juli 2016","21:23:57","German; Keira","2775","[1, 1, 1, 1, 1, 2, 3]","4","rechts","verloren","24","schwarz","gerade","hoch","2.Dutzend","3.Kolonne"
"141","Sonntag, 17. Juli 2016","21:24:46","German; Keira","2771","[1, 1, 1, 1, 1, 2, 3, 4]","5","links","gewonnen","33","schwarz","ungerade","hoch","3.Dutzend","3.Kolonne"
"142","Sonntag, 17. Juli 2016","21:25:36","German; Keira","2776","[1, 1, 1, 1, 2, 3]","4","rechts","verloren","3","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"143","Sonntag, 17. Juli 2016","21:26:22","German; Keira","2772","[1, 1, 1, 1, 2, 3, 4]","5","links","verloren","20","schwarz","gerade","hoch","2.Dutzend","2.Kolonne"
"144","Sonntag, 17. Juli 2016","21:27:10","German; Keira","2767","[1, 1, 1, 1, 2, 3, 4, 5]","6","rechts","verloren","9","rot","ungerade","niedrig","1.Dutzend","3.Kolonne"
"145","Sonntag, 17. Juli 2016","21:27:58","German; Keira","2761","[1, 1, 1, 1, 2, 3, 4, 5, 6]","7","links","gewonnen","34","rot","gerade","hoch","3.Dutzend","1.Kolonne"
"146","Sonntag, 17. Juli 2016","21:28:51","German; Keira","2768","[1, 1, 1, 2, 3, 4, 5]","6","rechts","verloren","8","schwarz","gerade","niedrig","1.Dutzend","2.Kolonne"
"147","Sonntag, 17. Juli 2016","21:29:37","German; Keira","2762","[1, 1, 1, 2, 3, 4, 5, 6]","7","links","gewonnen","13","schwarz","ungerade","niedrig","2.Dutzend","1.Kolonne"
"148","Sonntag, 17. Juli 2016","21:30:27","German; Keira","2769","[1, 1, 2, 3, 4, 5]","6","rechts","verloren","14","rot","gerade","niedrig","2.Dutzend","2.Kolonne"
"149","Sonntag, 17. Juli 2016","21:31:15","German- Matias","2763","[1, 1, 2, 3, 4, 5, 6]","7","links","gewonnen","27","rot","ungerade","hoch","3.Dutzend","3.Kolonne"
"150","Sonntag, 17. Juli 2016","21:32:07","German- Matias","2770","[1, 2, 3, 4, 5]","6","rechts","verloren","28","schwarz","gerade","hoch","3.Dutzend","1.Kolonne"
"151","Sonntag, 17. Juli 2016","21:32:55","German- Matias","2764","[1, 2, 3, 4, 5, 6]","7","links","gewonnen","13","schwarz","ungerade","niedrig","2.Dutzend","1.Kolonne"
"152","Sonntag, 17. Juli 2016","21:33:46","German- Matias","2771","[2, 3, 4, 5]","7","rechts","verloren","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"153","Sonntag, 17. Juli 2016","21:34:34","German- Matias","2764","[2, 3, 4, 5, 7]","9","links","gewonnen","25","rot","ungerade","hoch","3.Dutzend","1.Kolonne"
"154","Sonntag, 17. Juli 2016","21:35:23","German- Matias","2773","[3, 4, 5]","8","rechts","verloren","29","schwarz","ungerade","hoch","3.Dutzend","2.Kolonne"
"155","Sonntag, 17. Juli 2016","21:36:16","German- Matias","2765","[3, 4, 5, 8]","11","links","gewonnen","15","schwarz","ungerade","niedrig","2.Dutzend","3.Kolonne"
